1,青春,せいしゅん,thanh xuân,
,青春時代,せいしゅんじだい,"tuổi thanh xuân, tuổi trẻ",
2,晩年,ばんねん,"cuối đời, tuổi xế bóng",
,最晩年,さいばんねん,những năm cuối đời,
3,葬式,そうしき,"tang lễ, đám tang",
4,世帯,せたい,hộ gia đình,
,世帯主,せたいぬし,chủ hộ ,
,世帯数,せたいすう,số lượng hộ gia đình,
,二世帯,にせたい,2 hộ gia đình,
5,世間,せけん,"thế gian, xã hội ",
,世の中,よのなか,xã hội ,
,世間体,せけんてい,miệng lưỡi thế gian,
6,庶民,しょみん,"dân đen, dân thường ",
,庶民的,しょみんてき,"thông thường, tự nhiên, bình thường, mang tính phổ thông",
,庶民階級,しょみんかいきゅう,giai cấp nhân dân,
7,おんぶする,,"①địu, cõng trên lưng　②phụ thuộc, sống nhờ (実家に)",
,抱っこする,だっこする,"ôm,ẵm trên tay",
8,片言,かたこと,"① nói bập bõm, nói đứt đoạn, nói không trôi chảy
② tám chuyện",
9,夜更かし,よふかし,thức khuya ,
,夜更かし（を）する,,thức khuya ,
,夜更け,よふけ,Đêm khuya ,
10,家出,いえで,"① bỏ nhà ra đi
② đi ra khỏi nhà",
,家出する,,bỏ nhà ra đi,
11,戸締り(を)する,とじまり,khóa cửa ,
12,ずぶ濡れ,ずぶぬれ,ướt sũng,
13,顔つき,かおつき,"vẻ mặt, nét mặt",
14,身なり,みなり,diện mạo ,
,身なりをする,,thể hiện diện mạo,
,身なりがいい⇔悪い,,diện mạo tốt ⇔ xấu,
15,身の回り,みのまわり,những thứ xung quanh bản thân,
,身の回りのこと,,những việc thường ngày,
16,身振り,みぶり,"Điệu bộ, cử chỉ ",
17,良心,りょうしん,lương tâm ,
,良心がある⇔ない,,có lương tâm ⇔ không có lương tâm,
,良心が痛む,,đau đớn lương tâm,
,良心が恥じる,はじる,lương tâm xấu hổ,
,良心の呵責,かしゃく,sự cắn rứt lương tâm ,
18,素質,そしつ,"tố chất, năng khiếu （素質+努力＝才能）",
19,好意,こうい,"hảo ý, lòng tốt ",
,敵意,てきい,sự thù địch ,
20,ため息,ためいき,tiếng thở dài ,
,ため息をつく,,thở dài ,
21,ど忘れ,どわすれ,sự đãng trí ,
,ど忘れする,,đãng trí ,
22,用心,ようじん,cẩn thận đối với nguy hiểm (cẩn thận khi đi trên đường vắng ban đêm),
23,予感する,よかん,"dự cảm, linh tính ",
,予感がある,,"có cảm giác (thuộc về kinh nghiệm)
VD: đã có cảm giác sẽ thất bại.",
,予感がする,,"có cảm giác (hành động)
VD: trong lúc thực hiện dự án này tôi đã cảm thấy không khả thi.",
24,視線,しせん,"ánh mắt, ánh nhìn ",
,視線が合う,,nhìn nhau,
,視線を合わせる,,"bị nhìn nên nhìn lại, hãy nhìn nhau đi, hay làm lành (giận nhau)",
,視線を逸らす,しせんをそらす,trốn tránh ánh mắt của người khác,
,視線を外す,はずす,"rời mắt, không nhìn nữa",
,視線を浴びる,,"bị nhìn, bị để ý",
25,迷信,めいしん,mê tín ,
,迷信を信じる,,tin vào điều mê tín,
26,縁,えん,duyên nợ,
,血縁,けつえん,"cùng dòng máu, cùng huyết thống ",
,縁故,えんこ,"duyên cớ (có duyên nợ mới kết hôn, có duyên mới trở thành anh em , v.v)",
,離縁,りえん,"cắt đứt duyên nợ (ly dị,v.v)",
,絶縁,ぜつえん,①cắt đứt duyên nợ、② cách điện、cách nhiệt,
